
2025/02/28 (19:09:30) | ===> btop++ v.1.4.0
2025/02/28 (19:09:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (19:10:19) | ===> btop++ v.1.4.0
2025/02/28 (19:10:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (10:07:50) | ===> btop++ v.1.4.0
2025/03/02 (10:07:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (10:13:43) | ===> btop++ v.1.4.0
2025/03/02 (10:13:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (10:16:08) | ===> btop++ v.1.4.0
2025/03/02 (10:16:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (12:05:17) | ===> btop++ v.1.4.0
2025/03/02 (12:05:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:09:13) | ===> btop++ v.1.4.0
2025/03/02 (14:09:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:46:02) | ===> btop++ v.1.4.0
2025/03/02 (14:46:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (17:25:43) | ===> btop++ v.1.4.0
2025/03/02 (17:25:43) | WARNING: Intel GPU: Failed to initialize PMU
